Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
Data Scientist,Bhubaneshwar,4.3,0,1000000,2300000,1650000.0,Nirmalya Labs
Data Analytics Lead Analyst - C13 - BANGALORE,Bengaluru,3.7,0,600000,1000000,800000.0,Citi
Business Analyst – Digital Analytics ( Adobe ),Bengaluru,3.7,0,500000,1000000,750000.0,Citi
"Sr. Consultant, Data Science and Analytics",Bengaluru,4.0,0,1000000,1000000,1000000.0,TransUnion
Lead Data Analytics Analyst (Vice President),Bengaluru,3.7,0,600000,1000000,800000.0,Citi
AI Operations and Optimization Manager,Pune,3.7,0,500000,600000,550000.0,Ecolab Inc.
"Data Scientist II, Last Mile Science",Bengaluru,3.6,0,500000,1000000,750000.0,ADCI - Karnataka
Data Science Specialist - OptimusAI (Mining/Metal/Chemicals),Bengaluru,4.1,0,400000,1000000,700000.0,McKinsey & Company
Senior Data Scientist,Gurgaon,4.0,0,700000,900000,800000.0,Gartner
Data Analyst,Surat,3.8,1,35000,35000,35000.0,Stratefix Consulting
Data Scientist,Hyderābād,3.9,0,500000,1000000,750000.0,"World Wide Technology Holding, LLC"
Associate Machine Learning,Gurgaon,3.2,0,400000,500000,450000.0,Sprinklr
Data Science Trainer,Hyderābād,4.4,1,20000,30000,25000.0,Fireblaze AI School
Data Science Engineer-ML/NLP,Bengaluru,3.7,0,500000,800000,650000.0,Relyance AI
AI Engineer,Noida,3.5,0,300000,800000,550000.0,Product and Technology
"Manager, Data Science",Bengaluru,2.9,0,300000,700000,500000.0,Ansira
Senior Manager (Data Science),Bengaluru,3.5,0,800000,900000,850000.0,Factspan
Senior Data Science Lead – R01551339,Chennai,4.0,0,800000,1000000,900000.0,Brillio
"Analyst, DACI Analytics",Bengaluru,4.2,0,700000,800000,750000.0,Lowe's
"Senior Analyst, Marketing Analytics",Bengaluru,3.6,0,600000,1000000,800000.0,Bluevine - India
"Senior Analyst, BI Sales Analytics",Hyderābād,4.1,0,500000,700000,600000.0,S&P Global
Solution Architect Director (Data Science & AI/ML),Bengaluru,3.5,0,300000,400000,350000.0,Factspan
IN-Senior Associate_Integration Engineer _Data and Analytics_Advisory_Bangalore,Bengaluru,3.7,0,600000,800000,700000.0,PwC
AI Architect/Lead,Bengaluru,4.0,0,600000,800000,700000.0,Lilly
AI ML Engineer,Ahmedabad,3.7,0,300000,800000,550000.0,"Arrow Electronics, Inc."
AI - Senior Staff Engineer,Hyderābād,4.0,0,400000,400000,400000.0,Synopsys
Principal Analyst (Machine Learning Engineer),Bengaluru,3.5,0,300000,400000,350000.0,Factspan
Senior ML engineer - SAP Business AI - SAP Knowledge Graph,Bengaluru,4.2,0,200000,400000,300000.0,SAP
"Data Scientist Product, Google One and Photos",Bengaluru,4.3,0,100000,900000,500000.0,Google
Data Analyst,Pune,3.6,0,800000,1100000,950000.0,Equifax
Senior Data Scientist,Pune,,0,200000,800000,500000.0,UNITY Systems
Senior Applied Scientist II,Bengaluru,4.1,0,300000,900000,600000.0,Thomson Reuters
Technical Architect - GCP AI (Gemini),Bengaluru,3.5,0,300000,300000,300000.0,Atos
Principal Consultant -AI ML Engineer,Bengaluru,3.8,0,900000,1000000,950000.0,Genpact
Data Scientist,Vadodara,3.8,0,500000,1100000,800000.0,NielsenIQ
Data Scientist,India,2.5,0,1600000,2000000,1800000.0,Scymes Services PVT. LTD.
Data Scientist II,Chennai,4.2,0,200000,500000,350000.0,Toyota Connected India
Data Scientist,Pune,3.6,0,400000,900000,650000.0,Wipro Limited
Data Scientist (2–4 Yr),Mumbai,4.1,0,300000,1000000,650000.0,XS CAD India Pvt. Ltd
Data Scientist,Bengaluru,3.8,0,200000,200000,200000.0,Commonwealth Bank
Data Analyst,Pune,3.7,0,800000,900000,850000.0,Johnson Controls
Data Scientist,Pune,3.9,0,500000,800000,650000.0,Cybage
Lead Data Scientist - Ad Tech,Bengaluru,4.2,0,400000,400000,400000.0,Target
"Data Scientist, Senior",Bengaluru,3.8,0,300000,1000000,650000.0,o9 Solutions
Data Scientist Senior,Bengaluru,3.8,0,200000,200000,200000.0,Commonwealth Bank
Senior Applied Data Scientist,Bengaluru,3.7,0,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist 4,Chennai,3.8,0,700000,800000,750000.0,Comcast
"Senior Data Scientist, Operations (Gen AI)",Mumbai,3.8,0,1000000,1100000,1050000.0,Argus Media
