Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned,Standardized Title
Data Scientist,Bhubaneshwar,4.3,0,1000000.0,2300000.0,1650000.0,Nirmalya Labs,Data Scientist
Data Analytics Lead Analyst - C13 - BANGALORE,Bengaluru,3.7,0,600000.0,1000000.0,800000.0,Citi,Analyst
Business Analyst – Digital Analytics ( Adobe ),Bengaluru,3.7,0,500000.0,1000000.0,750000.0,Citi,Analyst
"Sr. Consultant, Data Science and Analytics",Bengaluru,4,0,1000000.0,1000000.0,1000000.0,TransUnion,Data Science
Lead Data Analytics Analyst (Vice President),Bengaluru,3.7,0,600000.0,1000000.0,800000.0,Citi,Analyst
AI Operations and Optimization Manager,Pune,3.7,0,500000.0,600000.0,550000.0,Ecolab Inc.,AI Engineer
"Data Scientist II, Last Mile Science",Bengaluru,3.6,0,500000.0,1000000.0,750000.0,ADCI - Karnataka,Data Scientist
Data Science Specialist - OptimusAI (Mining/Metal/Chemicals),Bengaluru,4.1,0,400000.0,1000000.0,700000.0,McKinsey & Company,Data Science
Senior Data Scientist,Gurgaon,4,0,700000.0,900000.0,800000.0,Gartner,Data Scientist
Data Analyst,Surat,3.8,1,35000.0,35000.0,35000.0,Stratefix Consulting,Data Science
Data Scientist,Hyderābād,3.9,0,500000.0,1000000.0,750000.0,"World Wide Technology Holding, LLC",Data Scientist
Associate Machine Learning,Gurgaon,3.2,0,400000.0,500000.0,450000.0,Sprinklr,Machine Learning Engineer
Data Science Trainer,Hyderābād,4.4,1,20000.0,30000.0,25000.0,Fireblaze AI School,Data Science
Data Science Engineer-ML/NLP,Bengaluru,3.7,0,500000.0,800000.0,650000.0,Relyance AI,Data Science
AI Engineer,Noida,3.5,0,300000.0,800000.0,550000.0,Product and Technology,AI Engineer
"Manager, Data Science",Bengaluru,2.9,0,300000.0,700000.0,500000.0,Ansira,Data Science
Senior Manager (Data Science),Bengaluru,3.5,0,800000.0,900000.0,850000.0,Factspan,Data Science
Senior Data Science Lead – R01551339,Chennai,4,0,800000.0,1000000.0,900000.0,Brillio,Data Science
"Analyst, DACI Analytics",Bengaluru,4.2,0,700000.0,800000.0,750000.0,Lowe's,Analyst
"Senior Analyst, Marketing Analytics",Bengaluru,3.6,0,600000.0,1000000.0,800000.0,Bluevine - India,Analyst
"Senior Analyst, BI Sales Analytics",Hyderābād,4.1,0,500000.0,700000.0,600000.0,S&P Global,Analyst
Solution Architect Director (Data Science & AI/ML),Bengaluru,3.5,0,300000.0,400000.0,350000.0,Factspan,Data Science
IN-Senior Associate_Integration Engineer _Data and Analytics_Advisory_Bangalore,Bengaluru,3.7,0,600000.0,800000.0,700000.0,PwC,Analyst
AI Architect/Lead,Bengaluru,4,0,600000.0,800000.0,700000.0,Lilly,AI Engineer
AI ML Engineer,Ahmedabad,3.7,0,300000.0,800000.0,550000.0,"Arrow Electronics, Inc.",Machine Learning Engineer
AI - Senior Staff Engineer,Hyderābād,4,0,400000.0,400000.0,400000.0,Synopsys,AI Engineer
Principal Analyst (Machine Learning Engineer),Bengaluru,3.5,0,300000.0,400000.0,350000.0,Factspan,Machine Learning Engineer
Senior ML engineer - SAP Business AI - SAP Knowledge Graph,Bengaluru,4.2,0,200000.0,400000.0,300000.0,SAP,Machine Learning Engineer
"Data Scientist Product, Google One and Photos",Bengaluru,4.3,0,100000.0,900000.0,500000.0,Google,Data Scientist
Data Analyst,Pune,3.6,0,800000.0,1100000.0,950000.0,Equifax,Data Science
Senior Data Scientist,Pune,,0,200000.0,800000.0,500000.0,UNITY Systems,Data Scientist
Senior Applied Scientist II,Bengaluru,4.1,0,300000.0,900000.0,600000.0,Thomson Reuters,Other
Technical Architect - GCP AI (Gemini),Bengaluru,3.5,0,300000.0,300000.0,300000.0,Atos,AI Engineer
Principal Consultant -AI ML Engineer,Bengaluru,3.8,0,900000.0,1000000.0,950000.0,Genpact,Machine Learning Engineer
Data Scientist,Vadodara,3.8,0,500000.0,1100000.0,800000.0,NielsenIQ,Data Scientist
Data Scientist,India,2.5,0,1600000.0,2000000.0,1800000.0,Scymes Services PVT. LTD.,Data Scientist
Data Scientist II,Chennai,4.2,0,200000.0,500000.0,350000.0,Toyota Connected India,Data Scientist
Data Scientist,Pune,3.6,0,400000.0,900000.0,650000.0,Wipro Limited,Data Scientist
Data Scientist (2–4 Yr),Mumbai,4.1,0,300000.0,1000000.0,650000.0,XS CAD India Pvt. Ltd,Data Scientist
Data Scientist,Bengaluru,3.8,0,200000.0,200000.0,200000.0,Commonwealth Bank,Data Scientist
Data Analyst,Pune,3.7,0,800000.0,900000.0,850000.0,Johnson Controls,Data Science
Data Scientist,Pune,3.9,0,500000.0,800000.0,650000.0,Cybage,Data Scientist
Lead Data Scientist - Ad Tech,Bengaluru,4.2,0,400000.0,400000.0,400000.0,Target,Data Scientist
"Data Scientist, Senior",Bengaluru,3.8,0,300000.0,1000000.0,650000.0,o9 Solutions,Data Scientist
Data Scientist Senior,Bengaluru,3.8,0,200000.0,200000.0,200000.0,Commonwealth Bank,Data Scientist
Senior Applied Data Scientist,Bengaluru,3.7,0,700000.0,1000000.0,850000.0,LSEG (London Stock Exchange Group),Data Scientist
Data Scientist 4,Chennai,3.8,0,700000.0,800000.0,750000.0,Comcast,Data Scientist
"Senior Data Scientist, Operations (Gen AI)",Mumbai,3.8,0,1000000.0,1100000.0,1050000.0,Argus Media,Data Scientist
Junior Program Associate– Climate-Energy-Economic Modelling,Mumbai,3.7,0,700000.0,800000.0,750000.0,WRI India,Other
Senior Data Scientist,Mumbai,3.8,0,1000000.0,1200000.0,1100000.0,Abbott Laboratories,Data Scientist
"Lead Data Scientist, Operations (Gen AI)",Mumbai,3.8,0,1000000.0,1100000.0,1050000.0,Argus Media,Data Scientist
Generative AI Platform,Bengaluru,3.7,0,300000.0,400000.0,350000.0,CGI,AI Engineer
"Manager, Data Science",Bengaluru,3.8,0,1000000.0,1000000.0,1000000.0,Standard Chartered,Data Science
Senior Data Scientist - Agentic AI & MLOps,,3.6,0,400000.0,900000.0,650000.0,Securonix,Data Scientist
Lead AI/ML Engineer,Bengaluru,3.6,0,2400000.0,200000.0,1300000.0,Okta,Machine Learning Engineer
Associate Architect - Machine Learning,Bengaluru,4.2,0,600000.0,900000.0,750000.0,Quantiphi,Machine Learning Engineer
Senior ML Engineer,Chennai,3.8,0,700000.0,900000.0,800000.0,Standard Chartered,Machine Learning Engineer
Sr ML Engineer,Bengaluru,3.8,0,600000.0,900000.0,750000.0,Visa,Machine Learning Engineer
"Director, Buyer Experience AI R&D",Bengaluru,3.9,0,500000.0,1000000.0,750000.0,eBay,AI Engineer
Senior AI/ML Engineer,Bengaluru,3.6,0,500000.0,900000.0,700000.0,nVent,Machine Learning Engineer
Vice President – Fraud Analytics and Operations,Chennai,4.1,0,700000.0,900000.0,800000.0,Fidelity Investments,Analyst
Member of Technical Staff - 3 [AI/ML],Bengaluru,3.9,0,500000.0,600000.0,550000.0,Nutanix,AI Engineer
Data Scientist,Delhi,3.6,0,600000.0,1200000.0,900000.0,Applore Technologies Pvt. Ltd,Data Scientist
Data Scientist,Noida,3.6,0,800000.0,1000000.0,900000.0,Clarivate,Data Scientist
Data Scientist,,3.6,0,1000000.0,1000000.0,1000000.0,Qualys,Data Scientist
Data Scientist,Mumbai,4.5,0,500000.0,900000.0,700000.0,INCHES Healthcare,Data Scientist
"Data Scientist, Research, App Safety Engineering",Bengaluru,4.3,0,100000.0,900000.0,500000.0,Google,Data Scientist
Senior Applied & Data scientist,Hyderābād,4.2,0,300000.0,1000000.0,650000.0,Microsoft,Data Scientist
Data Scientist,Bengaluru,3.7,0,400000.0,600000.0,500000.0,MOLECULAR CONNECTIONS,Data Scientist
"Data Scientist, Amazon Payments (Level 5), Amazon",Bengaluru,3.6,0,500000.0,1000000.0,750000.0,ADCI - Karnataka,Data Scientist
"Applied Scientist I, Geospatial Science, Last Mile",Hyderābād,3.6,0,300000.0,1000000.0,650000.0,ADCI HYD 13 SEZ,Other
Data Scientist,Hyderābād,4.1,0,600000.0,800000.0,700000.0,Thomson Reuters,Data Scientist
Data Scientist - AWS Professional Services,Bengaluru,3.7,0,700000.0,1000000.0,850000.0,AWS ProServe IN - Karnataka,Data Scientist
Senior Data Scientist,Bengaluru,4.1,0,700000.0,1000000.0,850000.0,Fidelity Investments,Data Scientist
Trainer/Faculty - Artificial Intelligence & Data Science,Cochin,5,1,15000.0,20000.0,17500.0,TECACS IT GROUP PVT LTD,Data Science
"Team Lead, Data Analytics",Noida,4.3,0,700000.0,800000.0,750000.0,CoreLogic,Analyst
AI Data Engineer,Hyderābād,3.8,0,500000.0,900000.0,700000.0,NTT DATA,AI Engineer
Python Machine Learning,Mohali,3.9,1,30000.0,80000.0,55000.0,iTechnolabs,Machine Learning Engineer
Data Science Analyst (Standard),Gurgaon,3.7,0,400000.0,600000.0,500000.0,Infogain,Data Science
Lead Data Scientist,Coimbatore,4,0,400000.0,800000.0,600000.0,"EPAM Systems, Inc.",Data Scientist
Senior Data Scientist - AWS Professional Services,Mumbai,3.7,0,600000.0,900000.0,750000.0,AWS ProServe IN - Maharashtra,Data Scientist
AI/ML Engineer (Python Developer),Bengaluru,4.2,0,500000.0,600000.0,550000.0,Cybernetyx,Machine Learning Engineer
Machine Learning Engineer,Gurgaon,4.1,0,600000.0,600000.0,600000.0,Paxcom India,Machine Learning Engineer
Senior Data Scientist,Bengaluru,4.1,0,500000.0,800000.0,650000.0,Thomson Reuters,Data Scientist
