Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Senior Software Engineer,"Optum
3.5",Gurgaon,₹6L – ₹10L/yr (Glassdoor Est.),3.5,N/A
Service Engineer,N/A,Mumbai,N/A,N/A,N/A
"Associate Software Engineer - .Net, React, Azure, Devops",N/A,Gurgaon,N/A,N/A,N/A
Machine Learning Engineer II (Big-Data Heavy),"Expedia Group
3.9",Gurgaon,₹8L – ₹9L/yr (Glassdoor Est.),3.9,N/A
Senior AI Engineer - India,N/A,Remote,N/A,N/A,N/A
"Data Engineering Manager, ITC","NIKE
4.0",Karnataka,N/A,4.0,N/A
"Senior Fullstack Engineer (Python, React, GCP, GenAI)",N/A,Hyderābād,₹18L – ₹30L/yr (Employer provided),N/A,N/A
AI Engineer – Client Automation & Agent Development,N/A,India,₹7L/yr (Employer provided),N/A,N/A
"Director Software Engineering, ITC","NIKE
4.0",Karnataka,N/A,4.0,N/A
Senior Backend Software Engineer-Python,"S&P Global
4.1",Hyderābād,N/A,4.1,N/A
Backend Engineer,N/A,Mohali,N/A,N/A,N/A
Full Stack Developer (long term contract),N/A,Remote,N/A,N/A,N/A
"Senior Software Developer, Machine Learning","Kinaxis Inc.
4.0",India,N/A,4.0,N/A
"Senior Software Engineer - .NET core, Angular or React and SQL","Optum
3.5",Noida,₹6L – ₹10L/yr (Glassdoor Est.),3.5,N/A
AI/ML Engineer - LLM Integration & Reasoning,N/A,Bengaluru,₹4L – ₹12L/yr (Employer provided),N/A,N/A
AI/ML Engineer,N/A,Remote,₹25L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"LOGSKIM SOLUTIONS
1.0",Chennai,₹4L – ₹20L/yr (Employer provided),1.0,N/A
AI Engineer,N/A,Remote,₹3L – ₹14L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Techahead Software Pvt. Ltd.
4.1",Noida,N/A,4.1,N/A
"AI/ML,data engineer",N/A,India,₹14K – ₹22K/mo (Employer provided),N/A,N/A
ML Engineer,N/A,Bengaluru,₹20L – ₹25L/yr (Employer provided),N/A,N/A
Sr. AI/ML Engineer,"D3V Technology Solutions
4.4",Remote,₹5L – ₹8L/yr (Employer provided),4.4,N/A
Frontend Engineer (India),"Aidaptive
4.8",Remote,N/A,4.8,N/A
AI ML Engineer,"Virtusa
3.7",Bengaluru,₹6L – ₹7L/yr (Glassdoor Est.),3.7,N/A
Data Scientist / ML Engineer,N/A,Remote,₹50K – ₹70K/mo (Employer provided),N/A,N/A
AI/ML Engineer,N/A,Hyderābād,₹20L/yr (Employer provided),N/A,N/A
ML Engineer,"Waayslive Solution
2.2",Remote,₹18L/yr (Employer provided),2.2,N/A
AI/ML Engineering Intern – Intern-to-Hire,"Sirma Business Consulting India Private Limited
3.4",Bengaluru,N/A,N/A,N/A
"AI/ML Engineer/Lead - Gen AI, NLP","Optum
3.5",Noida,N/A,3.5,N/A
