Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Data Scientist,"Nirmalya Labs
4.3",Bhubaneshwar,₹10L – ₹23L/yr (Employer provided),4.3,N/A
Data Science Trainer,N/A,India,₹25K – ₹35K/mo (Employer provided),N/A,N/A
Data Analytics Lead Analyst - C13 - BANGALORE,"Citi
3.7",Bengaluru,₹6L – ₹10L/yr (Glassdoor Est.),3.7,N/A
Business Analyst – Digital Analytics ( Adobe ),"Citi
3.7",Bengaluru,₹5L – ₹10L/yr (Glassdoor Est.),3.7,N/A
"Sr. Consultant, Data Science and Analytics","TransUnion
4.0",Bengaluru,₹10L/yr (Glassdoor Est.),4,N/A
AI Developer,N/A,Hyderābād,₹6L – ₹8L/yr (Employer provided),N/A,N/A
Data Science Lead - Vice President - C13 - Pune,"Citi
3.7",Chennai,N/A,3.7,N/A
Lead Data Analytics Analyst (Vice President),"Citi
3.7",Bengaluru,₹6L – ₹10L/yr (Glassdoor Est.),3.7,N/A
AI Operations and Optimization Manager,"Ecolab Inc.
3.7",Pune,₹5L – ₹6L/yr (Glassdoor Est.),3.7,N/A
Customer-Facing Data Scientist - India,"DataRobot
3.6",Remote,N/A,3.6,N/A
"Data Scientist II, Last Mile Science","ADCI - Karnataka
3.6",Bengaluru,₹5L – ₹10L/yr (Glassdoor Est.),3.6,N/A
Data Science Specialist - OptimusAI (Mining/Metal/Chemicals),"McKinsey & Company
4.1",Bengaluru,₹4L – ₹10L/yr (Glassdoor Est.),4.1,N/A
Data Product Lead - Machine Learning,"Maersk Line
4.1",India,N/A,4.1,N/A
Senior Data Scientist,"Gartner
4.0",Gurgaon,₹7L – ₹9L/yr (Glassdoor Est.),4,N/A
Machine learning trainer,N/A,India,N/A,N/A,N/A
Senior Machine Learning Engineer - Cybersecurity,"Axiado
3.6",Hyderābād,N/A,3.6,N/A
Consultant | Data Scientist/ Process Optimisation | Mumbai | Supply Chain & Network Operations,"Deloitte
3.9",Mumbai,N/A,N/A,N/A
