Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Java and Angular Full Stack Developer - AVP,"Citi
3.7",Chennai,₹4L – ₹7L/yr (Glassdoor Est.),3.7,N/A
Magento Developer,N/A,India,N/A,N/A,N/A
Senior Frontend Developer - Vue,N/A,India,N/A,N/A,N/A
Senior Front End Developer,N/A,Remote,N/A,N/A,N/A
PHP & WordPress Developer,Kahhak Industries Private Limited,India,₹15K – ₹20K/mo (Employer provided),N/A,N/A
Senior Web Developer,N/A,Remote,₹60K – ₹70K/mo (Employer provided),N/A,N/A
Sr. Symfony Developer,"Credence Technologies
5.0",Remote,₹19K/mo (Employer provided),5.0,N/A
Wordpress Developer,N/A,India,₹9K – ₹15K/mo (Employer provided),N/A,N/A
Mobile App Developer - React Native,N/A,India,₹1L – ₹2L/mo (Employer provided),N/A,N/A
Frontend Developer Internship,"UpTricks
3.6",Remote,N/A,3.6,N/A
Senior Full Stack Developer,N/A,India,₹15L/yr (Employer provided),N/A,N/A
HTML Developer,N/A,Hyderābād,₹2L – ₹10L/yr (Employer provided),N/A,N/A
PHP Web Developer(Bangaloreans can apply),N/A,India,N/A,N/A,N/A
Senior Java Full-Stack Developer - C12 - AVP - Pune /Chennai,"Citi
3.7",Chennai,₹6L – ₹7L/yr (Glassdoor Est.),3.7,N/A
Frontend Developer Internship,N/A,Remote,₹8K – ₹10K/mo (Employer provided),N/A,N/A
PHP Developer,N/A,India,₹26K – ₹45K/mo (Employer provided),N/A,N/A
Frontend Developer (React/Next.js),N/A,Remote,₹15K – ₹25K/mo (Employer provided),N/A,N/A
Frontend Developer (React Js),N/A,Remote,₹6L – ₹8L/yr (Employer provided),N/A,N/A
HTML Developer,Talentoria global solutions,Bengaluru,₹25K – ₹80K/mo (Employer provided),N/A,N/A
Senior PHP Developer,N/A,Tamil Nadu,₹20K – ₹30K/mo (Employer provided),N/A,N/A
Front End Developer,N/A,Chennai,₹3L – ₹13L/yr (Employer provided),N/A,N/A
Web Designer/Developer – WordPress Platform,N/A,Cochin,₹25K – ₹35K/mo (Employer provided),N/A,N/A
Junior Front End Developer,"Finpoint
5.0",Bengaluru,₹3L – ₹8L/yr (Glassdoor Est.),5.0,N/A
Junior Frontend Developer,"coolboots
2.6",Gurgaon,₹2L – ₹5L/yr (Glassdoor Est.),2.6,N/A
Frontend Software Developer SDE I (REACTJS),"Indiavidual Learning Pvt Ltd
3.8",Bengaluru,₹6L – ₹7L/yr (Glassdoor Est.),3.8,N/A
Frontend Developer,"Think Future Technologies
4.4",Gurgaon,₹3L – ₹7L/yr (Glassdoor Est.),4.4,N/A
Senior React.js Frontend Developer,N/A,Cochin,₹20L/yr (Employer provided),N/A,N/A
Junior JavaScript Developer - Remote work,"BairesDev
4.1",Bengaluru,N/A,4.1,N/A
Senior PHP Developer,N/A,India,₹12K – ₹30K/mo (Employer provided),N/A,N/A
PHP (Wordpress) Developer,N/A,Mohali,₹30K – ₹40K/mo (Employer provided),N/A,N/A
Website UI/UX Designer and Developer (WordPress),N/A,Mohali,₹20K – ₹35K/mo (Employer provided),N/A,N/A
Wordpress Developer (Back End Developer),"factoHR - Version systems Pvt. Ltd.
4.1",Rājkot,N/A,N/A,N/A
Global IT Senior Software Engineer – Senior Specialist,"Boston Consulting Group
4.2",Gurgaon,N/A,N/A,N/A
Front End Developer,N/A,Remote,₹10K – ₹15K/mo (Employer provided),N/A,N/A
web developer(wordpress),N/A,Remote,₹16K – ₹44K/mo (Employer provided),N/A,N/A
